,name,clim_2023,color_2023,temp_2023,clim_2070,temp_2070,color_2070,type_2023,type_2070,type_2023_simp,type_2070_simp
0,Vatican City,8.0,"rgb(255,255,0)",16.36,8.0,19.58,"rgb(255,255,0)","Temperate, dry summer, hot summer","Temperate, dry summer, hot summer",Temperate,Temperate
1,Boston,25.0,"rgb(0,255,255)",10.72,14.0,14.46,"rgb(200,255,80)","Cold, no dry season, hot summer  ","Temperate, no dry season, hot summer ",Cold,Temperate
2,Budapest,25.0,"rgb(0,255,255)",9.71,7.0,13.36,"rgb(255,220,100)","Cold, no dry season, hot summer  ","Arid, steppe, cold        ",Cold,Arid
3,Barcelona,8.0,"rgb(255,255,0)",16.93,6.0,19.77,"rgb(245,165,0)","Temperate, dry summer, hot summer","Arid, steppe, hot        ",Temperate,Arid
4,Bucharest,25.0,"rgb(0,255,255)",12.07,7.0,15.81,"rgb(255,220,100)","Cold, no dry season, hot summer  ","Arid, steppe, cold        ",Cold,Arid
5,Zürich,15.0,"rgb(100,255,80)",5.48,14.0,8.84,"rgb(200,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, hot summer ",Temperate,Temperate
6,Lisbon,8.0,"rgb(255,255,0)",17.1,8.0,19.41,"rgb(255,255,0)","Temperate, dry summer, hot summer","Temperate, dry summer, hot summer",Temperate,Temperate
7,Oslo,26.0,"rgb(55,200,255)",5.28,15.0,8.3,"rgb(100,255,80)","Cold, no dry season, warm summer  ","Temperate, no dry season, warm summer",Cold,Temperate
8,Warsaw,26.0,"rgb(55,200,255)",8.72,7.0,12.15,"rgb(255,220,100)","Cold, no dry season, warm summer  ","Arid, steppe, cold        ",Cold,Arid
9,Dublin,15.0,"rgb(100,255,80)",10.37,15.0,12.32,"rgb(100,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, warm summer",Temperate,Temperate
10,Milan,14.0,"rgb(200,255,80)",12.32,14.0,15.76,"rgb(200,255,80)","Temperate, no dry season, hot summer ","Temperate, no dry season, hot summer ",Temperate,Temperate
11,Kuala Lumpur,1.0,"rgb(0,0,255)",26.39,1.0,28.83,"rgb(0,0,255)","Tropical, rainforest","Tropical, rainforest",Tropical,Tropical
12,Frankfurt,15.0,"rgb(100,255,80)",9.94,14.0,13.01,"rgb(200,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, hot summer ",Temperate,Temperate
13,Hamburg,15.0,"rgb(100,255,80)",9.47,15.0,12.14,"rgb(100,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, warm summer",Temperate,Temperate
14,Munich,26.0,"rgb(55,200,255)",8.44,14.0,11.82,"rgb(200,255,80)","Cold, no dry season, warm summer  ","Temperate, no dry season, hot summer ",Cold,Temperate
15,Prague,7.0,"rgb(255,220,100)",8.82,7.0,12.21,"rgb(255,220,100)","Arid, steppe, cold        ","Arid, steppe, cold        ",Arid,Arid
16,Brussels,15.0,"rgb(100,255,80)",10.96,14.0,13.69,"rgb(200,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, hot summer ",Temperate,Temperate
17,Helsinki,26.0,"rgb(55,200,255)",5.65,15.0,9.16,"rgb(100,255,80)","Cold, no dry season, warm summer  ","Temperate, no dry season, warm summer",Cold,Temperate
18,København,26.0,"rgb(55,200,255)",8.38,15.0,11.16,"rgb(100,255,80)","Cold, no dry season, warm summer  ","Temperate, no dry season, warm summer",Cold,Temperate
19,San Francisco,9.0,"rgb(200,200,0)",14.98,8.0,17.84,"rgb(255,255,0)","Temperate, dry summer, warm summer","Temperate, dry summer, hot summer",Temperate,Temperate
20,Miami,2.0,"rgb(0,120,255)",24.8,2.0,27.2,"rgb(0,120,255)","Tropical, monsoon    ","Tropical, monsoon    ",Tropical,Tropical
21,Atlanta,14.0,"rgb(200,255,80)",16.36,14.0,19.46,"rgb(200,255,80)","Temperate, no dry season, hot summer ","Temperate, no dry season, hot summer ",Temperate,Temperate
22,Chicago,25.0,"rgb(0,255,255)",9.75,14.0,13.91,"rgb(200,255,80)","Cold, no dry season, hot summer  ","Temperate, no dry season, hot summer ",Cold,Temperate
23,Caracas,3.0,"rgb(70,170,250)",24.78,6.0,26.97,"rgb(245,165,0)","Tropical, savannah    ","Arid, steppe, hot        ",Tropical,Arid
24,Dubai,4.0,"rgb(255,0,0)",27.79,4.0,31.1,"rgb(255,0,0)","Arid, desert, hot      ","Arid, desert, hot      ",Arid,Arid
25,Madrid,7.0,"rgb(255,220,100)",15.12,6.0,18.77,"rgb(245,165,0)","Arid, steppe, cold        ","Arid, steppe, hot        ",Arid,Arid
26,Geneva,15.0,"rgb(100,255,80)",9.54,14.0,12.89,"rgb(200,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, hot summer ",Temperate,Temperate
27,Stockholm,26.0,"rgb(55,200,255)",6.98,15.0,10.12,"rgb(100,255,80)","Cold, no dry season, warm summer  ","Temperate, no dry season, warm summer",Cold,Temperate
28,Bangkok,3.0,"rgb(70,170,250)",28.36,3.0,30.93,"rgb(70,170,250)","Tropical, savannah    ","Tropical, savannah    ",Tropical,Tropical
29,Johannesburg,12.0,"rgb(100,200,100)",17.66,11.0,21.04,"rgb(150,255,150)","Temperate, dry winter, warm summer   ","Temperate, dry winter, hot summer   ",Temperate,Temperate
30,Amsterdam,15.0,"rgb(100,255,80)",10.41,15.0,12.92,"rgb(100,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, warm summer",Temperate,Temperate
31,Casablanca,8.0,"rgb(255,255,0)",18.79,6.0,21.0,"rgb(245,165,0)","Temperate, dry summer, hot summer","Arid, steppe, hot        ",Temperate,Arid
32,Seoul,21.0,"rgb(170,175,255)",10.48,11.0,14.13,"rgb(150,255,150)","Cold, dry winter, hot summer    ","Temperate, dry winter, hot summer   ",Cold,Temperate
33,Manila,3.0,"rgb(70,170,250)",26.54,3.0,28.73,"rgb(70,170,250)","Tropical, savannah    ","Tropical, savannah    ",Tropical,Tropical
34,Berlin,26.0,"rgb(55,200,255)",9.7,14.0,12.79,"rgb(200,255,80)","Cold, no dry season, warm summer  ","Temperate, no dry season, hot summer ",Cold,Temperate
35,Ōsaka,14.0,"rgb(200,255,80)",14.31,14.0,17.4,"rgb(200,255,80)","Temperate, no dry season, hot summer ","Temperate, no dry season, hot summer ",Temperate,Temperate
36,New Delhi,6.0,"rgb(245,165,0)",25.14,6.0,28.22,"rgb(245,165,0)","Arid, steppe, hot        ","Arid, steppe, hot        ",Arid,Arid
37,Athens,8.0,"rgb(255,255,0)",17.13,6.0,20.12,"rgb(245,165,0)","Temperate, dry summer, hot summer","Arid, steppe, hot        ",Temperate,Arid
38,Toronto,25.0,"rgb(0,255,255)",7.56,14.0,11.73,"rgb(200,255,80)","Cold, no dry season, hot summer  ","Temperate, no dry season, hot summer ",Cold,Temperate
39,Buenos Aires,14.0,"rgb(200,255,80)",16.71,14.0,18.79,"rgb(200,255,80)","Temperate, no dry season, hot summer ","Temperate, no dry season, hot summer ",Temperate,Temperate
40,Vienna,26.0,"rgb(55,200,255)",9.26,14.0,12.6,"rgb(200,255,80)","Cold, no dry season, warm summer  ","Temperate, no dry season, hot summer ",Cold,Temperate
41,Melbourne,15.0,"rgb(100,255,80)",14.61,14.0,17.02,"rgb(200,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, hot summer ",Temperate,Temperate
42,Taipei,14.0,"rgb(200,255,80)",22.21,1.0,24.56,"rgb(0,0,255)","Temperate, no dry season, hot summer ","Tropical, rainforest",Temperate,Tropical
43,Los Angeles,8.0,"rgb(255,255,0)",15.44,6.0,18.43,"rgb(245,165,0)","Temperate, dry summer, hot summer","Arid, steppe, hot        ",Temperate,Arid
44,"Washington,  D.C.",14.0,"rgb(200,255,80)",13.67,14.0,17.31,"rgb(200,255,80)","Temperate, no dry season, hot summer ","Temperate, no dry season, hot summer ",Temperate,Temperate
45,New York,25.0,"rgb(0,255,255)",11.57,14.0,15.3,"rgb(200,255,80)","Cold, no dry season, hot summer  ","Temperate, no dry season, hot summer ",Cold,Temperate
46,London,15.0,"rgb(100,255,80)",10.41,14.0,12.85,"rgb(200,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, hot summer ",Temperate,Temperate
47,Riyadh,4.0,"rgb(255,0,0)",26.3,4.0,30.34,"rgb(255,0,0)","Arid, desert, hot      ","Arid, desert, hot      ",Arid,Arid
48,Cape Town,9.0,"rgb(200,200,0)",16.67,8.0,18.57,"rgb(255,255,0)","Temperate, dry summer, warm summer","Temperate, dry summer, hot summer",Temperate,Temperate
49,Moscow,26.0,"rgb(55,200,255)",5.68,25.0,9.6,"rgb(0,255,255)","Cold, no dry season, warm summer  ","Cold, no dry season, hot summer  ",Cold,Cold
50,Mexico City,12.0,"rgb(100,200,100)",18.33,6.0,21.44,"rgb(245,165,0)","Temperate, dry winter, warm summer   ","Arid, steppe, hot        ",Temperate,Arid
51,Lagos,3.0,"rgb(70,170,250)",27.25,3.0,29.52,"rgb(70,170,250)","Tropical, savannah    ","Tropical, savannah    ",Tropical,Tropical
52,Rome,8.0,"rgb(255,255,0)",16.36,8.0,19.58,"rgb(255,255,0)","Temperate, dry summer, hot summer","Temperate, dry summer, hot summer",Temperate,Temperate
53,Beijing,21.0,"rgb(170,175,255)",10.12,11.0,13.85,"rgb(150,255,150)","Cold, dry winter, hot summer    ","Temperate, dry winter, hot summer   ",Cold,Temperate
54,Nairobi,15.0,"rgb(100,255,80)",18.92,3.0,21.32,"rgb(70,170,250)","Temperate, no dry season, warm summer","Tropical, savannah    ",Temperate,Tropical
55,Jakarta,2.0,"rgb(0,120,255)",27.35,2.0,29.61,"rgb(0,120,255)","Tropical, monsoon    ","Tropical, monsoon    ",Tropical,Tropical
56,Bogota,9.0,"rgb(200,200,0)",15.0,15.0,18.13,"rgb(100,255,80)","Temperate, dry summer, warm summer","Temperate, no dry season, warm summer",Temperate,Temperate
57,Cairo,4.0,"rgb(255,0,0)",21.86,4.0,25.06,"rgb(255,0,0)","Arid, desert, hot      ","Arid, desert, hot      ",Arid,Arid
58,Shanghai,14.0,"rgb(200,255,80)",16.62,14.0,19.85,"rgb(200,255,80)","Temperate, no dry season, hot summer ","Temperate, no dry season, hot summer ",Temperate,Temperate
59,Tokyo,14.0,"rgb(200,255,80)",14.62,14.0,17.58,"rgb(200,255,80)","Temperate, no dry season, hot summer ","Temperate, no dry season, hot summer ",Temperate,Temperate
60,Mumbai,2.0,"rgb(0,120,255)",27.39,2.0,29.83,"rgb(0,120,255)","Tropical, monsoon    ","Tropical, monsoon    ",Tropical,Tropical
61,Paris,15.0,"rgb(100,255,80)",11.96,14.0,14.87,"rgb(200,255,80)","Temperate, no dry season, warm summer","Temperate, no dry season, hot summer ",Temperate,Temperate
